PERIOD,SALES_,EXPENSES_,OPERATING_PROFIT,OPM__PERCENT,OTHER_INCOME_,INTEREST,DEPRECIATION,PROFIT_BEFORE_TAX,TAX__PERCENT,NET_PROFIT_,EPS_IN_RS,DIVIDEND_PAYOUT__PERCENT,TICKER,COMPANY
94648,94648,70167,24482,26,3720,104,1799,26298,24,20060,50.68,78,TCS,Tata Consultancy Services
108646,108646,77969,30677,28,3084,33,1888,31840,24,24338,61.58,35,TCS,Tata Consultancy Services
117966,117966,85655,32311,27,4221,32,1987,34513,24,26357,66.71,35,TCS,Tata Consultancy Services
123104,123104,90588,32516,26,3642,52,2014,34092,24,25880,67.46,37,TCS,Tata Consultancy Services
146463,146463,106957,39506,27,4311,198,2056,41563,24,31562,83.87,36,TCS,Tata Consultancy Services
156949,156949,114840,42109,27,4592,924,3529,42248,23,32447,86.19,85,TCS,Tata Consultancy Services
164177,164177,117631,46546,28,1916,637,4065,43760,26,32562,87.67,43,TCS,Tata Consultancy Services
191754,191754,138697,53057,28,4018,784,4604,51687,26,38449,104.75,41,TCS,Tata Consultancy Services
225458,225458,166199,59259,26,3449,779,5022,56907,26,42303,115.19,100,TCS,Tata Consultancy Services
240893,240893,176597,64296,27,3464,778,4985,61997,26,46099,126.88,58,TCS,Tata Consultancy Services
255324,255324,187917,67407,26,3962,796,5242,65331,25,48797,134.2,94,TCS,Tata Consultancy Services
267021,267021,194623,72398,27,-124,1227,5560,65487,24,49454,136.01,81,TCS,Tata Consultancy Services
